Station,Project,Deployed,Recovered
2 mile 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
2 Mile 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
9_mile_1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
9_mile_2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ALS002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ALS003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ALS004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ATAP_Hougham,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ATAP_Sundays Mouth,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
BR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
BR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon005,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Canyon006,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
CAS001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
GG001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
GG002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Goodsheds,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ISR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
ISR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Jahleel,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
JP001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
JP002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
JP003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
KM001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
KM002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
KM003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Leven,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Malongane,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Mamoli 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MAP001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MAP002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MAP003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MAP004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MOZ001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
MOZ002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacle Temporary 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacle Temporary 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacle Temporary 3,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacles 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacles 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Pinnacles 3,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
PON001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
PON002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
PSJ001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
PSJ002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
PSJ003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Red_Sands_1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Red_Sands_2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Red Sands_SAEON,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
RR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
RR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
RSB001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
RSB002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Santa Maria Mid,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Santa Maria North,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Santa Maria Point,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Santa Maria South,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Sod1_20m,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Sod1_30m,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Sod3_30m,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
St Croix,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
TB001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Techobanine 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Techobanine 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Techobanine 3,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
Umdloti_ORI,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00
