Date.and.Time..UTC.,Receiver,Transmitter,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Name,Transmitter.Serial
2018/11/20 09:50,Pinnacle Temporary 3,14681,NA,NA,Pinnacle Temporary 3,-26.748528,32.934889,14681,Blacktip
2018/11/20 09:51,Pinnacle Temporary 3,14681,NA,NA,Pinnacle Temporary 3,-26.748528,32.934889,14681,Blacktip
2018/11/22 12:54,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 12:55,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 12:56,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:00,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:01,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:04,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:05,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:06,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:08,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:09,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:12,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:13,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:16,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 13:22,MOZ002,14681,NA,NA,MOZ002,-26.8545,32.905361,14681,Blacktip
2018/11/22 20:24,Malongane,14681,NA,NA,Malongane,-26.782167,32.90475,14681,Blacktip
2018/11/22 20:26,Malongane,14681,NA,NA,Malongane,-26.782167,32.90475,14681,Blacktip
2018/11/22 23:21,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:25,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:25,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:26,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:27,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:27,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:29,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:30,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:32,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:35,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/22 23:36,Mamoli 1,14681,NA,NA,Mamoli 1,-26.713361,32.910833,14681,Blacktip
2018/11/23 02:59,Techobanine 3,14681,NA,NA,Techobanine 3,-26.649167,32.915139,14681,Blacktip
2018/11/23 03:00,Techobanine 3,14681,NA,NA,Techobanine 3,-26.649167,32.915139,14681,Blacktip
2018/11/23 03:04,Techobanine 3,14681,NA,NA,Techobanine 3,-26.649167,32.915139,14681,Blacktip
2018/11/23 11:44,9_mile_1,14684,NA,NA,9_mile_1,-27.398572,32.730531,14684,Blacktip
2018/11/23 11:45,9_mile_1,14684,NA,NA,9_mile_1,-27.398572,32.730531,14684,Blacktip
2018/11/23 11:46,9_mile_1,14684,NA,NA,9_mile_1,-27.398572,32.730531,14684,Blacktip
2018/11/23 11:48,9_mile_1,14684,NA,NA,9_mile_1,-27.398572,32.730531,14684,Blacktip
2018/11/23 11:49,9_mile_1,14684,NA,NA,9_mile_1,-27.398572,32.730531,14684,Blacktip
2018/11/24 05:40,JP002,14684,NA,NA,JP002,-27.561167,32.691833,14684,Blacktip
2018/11/24 05:41,JP001,14684,NA,NA,JP001,-27.561167,32.686167,14684,Blacktip
2018/11/24 05:42,JP001,14684,NA,NA,JP001,-27.561167,32.686167,14684,Blacktip
2018/11/24 05:43,JP001,14684,NA,NA,JP001,-27.561167,32.686167,14684,Blacktip
2018/11/24 05:45,JP001,14684,NA,NA,JP001,-27.561167,32.686167,14684,Blacktip
2018/11/24 13:12,Sod1_20m,14684,NA,NA,Sod1_20m,-27.6243,32.663783,14684,Blacktip
2018/11/24 13:13,Sod1_20m,14684,NA,NA,Sod1_20m,-27.6243,32.663783,14684,Blacktip
2018/11/24 13:14,Sod1_20m,14684,NA,NA,Sod1_20m,-27.6243,32.663783,14684,Blacktip
2018/11/24 20:15,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/24 20:15,RSB001,14684,NA,NA,RSB001,-27.7178,32.6391,14684,Blacktip
2018/11/25 07:46,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/25 11:40,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/25 11:42,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/25 11:48,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/25 11:50,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/25 11:53,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
