station_name,receiver_name,installation_name,project_name,deploymentdatetime_timestamp,recoverydatetime_timestamp,station_latitude,station_longitude,status,receiver
2 mile 1,2 mile 1,2 mile 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.51221667,32.68713333,NA,2 mile 1
2 Mile 2,2 Mile 2,2 Mile 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.5122,32.69548333,NA,2 Mile 2
9_mile_1,9_mile_1,9_mile_1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.398572,32.730531,NA,9_mile_1
9_mile_2,9_mile_2,9_mile_2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.399796,32.736069,NA,9_mile_2
ALS002,ALS002,ALS002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.28107,30.81001,NA,ALS002
ALS003,ALS003,ALS003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.37126,30.76117,NA,ALS003
ALS004,ALS004,ALS004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.2543,30.78576,NA,ALS004
ATAP_Hougham,ATAP_Hougham,ATAP_Hougham,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-33.78674,25.73234,NA,ATAP_Hougham
ATAP_Sundays Mouth,ATAP_Sundays Mouth,ATAP_Sundays Mouth,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-33.73153,25.87346,NA,ATAP_Sundays Mouth
BR001,BR001,BR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-29.905283,31.046133,NA,BR001
BR002,BR002,BR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-29.907867,31.050767,NA,BR002
Canyon001,Canyon001,Canyon001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.62491667,32.67756667,NA,Canyon001
Canyon002,Canyon002,Canyon002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.83783333,32.62063333,NA,Canyon002
Canyon003,Canyon003,Canyon003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.91305,32.6181,NA,Canyon003
Canyon004,Canyon004,Canyon004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.7571,30.58046667,NA,Canyon004
Canyon005,Canyon005,Canyon005,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.83208333,30.52921667,NA,Canyon005
Canyon006,Canyon006,Canyon006,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-30.89196667,30.47,NA,Canyon006
CAS001,CAS001,CAS001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.1066,30.19351667,NA,CAS001
GG001,GG001,GG001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.29288,30.01762,NA,GG001
GG002,GG002,GG002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.29523,30.02203,NA,GG002
Goodsheds,Goodsheds,Goodsheds,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-33.90755,25.62473333,NA,Goodsheds
ISR001,ISR001,ISR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.2497,32.79191667,NA,ISR001
ISR002,ISR002,ISR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.2497,32.79741667,NA,ISR002
Jahleel,Jahleel,Jahleel,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-33.806683,25.708267,NA,Jahleel
JP001,JP001,JP001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.561167,32.686167,NA,JP001
JP002,JP002,JP002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.561167,32.691833,NA,JP002
JP003,JP003,JP003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.561167,32.698017,NA,JP003
KM001,KM001,KM001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-32.704722,28.384833,NA,KM001
KM002,KM002,KM002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-32.708083,28.391333,NA,KM002
KM003,KM003,KM003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-32.711,28.397972,NA,KM003
Leven,Leven,Leven,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.91211667,32.59856667,NA,Leven
Malongane,Malongane,Malongane,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.78216667,32.90475,NA,Malongane
Mamoli 1,Mamoli 1,Mamoli 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.71336111,32.91083333,NA,Mamoli 1
MAP001,MAP001,MAP001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-28.40567,32.44333333,NA,MAP001
MAP002,MAP002,MAP002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-28.44005,32.42876667,NA,MAP002
MAP003,MAP003,MAP003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-28.47627,32.42181667,NA,MAP003
MAP004,MAP004,MAP004,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-28.51055,32.41661667,NA,MAP004
MOZ001,MOZ001,MOZ001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.854556,32.899333,NA,MOZ001
MOZ002,MOZ002,MOZ002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.8545,32.905361,NA,MOZ002
Pinnacle Temporary 1,Pinnacle Temporary 1,Pinnacle Temporary 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.75411111,32.93602778,NA,Pinnacle Temporary 1
Pinnacle Temporary 2,Pinnacle Temporary 2,Pinnacle Temporary 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.75213889,32.93586111,NA,Pinnacle Temporary 2
Pinnacle Temporary 3,Pinnacle Temporary 3,Pinnacle Temporary 3,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.74852778,32.93488889,NA,Pinnacle Temporary 3
Pinnacles 1,Pinnacles 1,Pinnacles 1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.75558333,32.93627778,NA,Pinnacles 1
Pinnacles 2,Pinnacles 2,Pinnacles 2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.74663889,32.93422222,NA,Pinnacles 2
Pinnacles 3,Pinnacles 3,Pinnacles 3,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.74988889,32.93583333,NA,Pinnacles 3
PON001,PON001,PON001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.23566667,30.08415,NA,PON001
PON002,PON002,PON002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.1786,30.13241667,NA,PON002
PSJ001,PSJ001,PSJ001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.61576,29.59354,NA,PSJ001
PSJ002,PSJ002,PSJ002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.62011,29.60016,NA,PSJ002
PSJ003,PSJ003,PSJ003,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-31.62443,29.60723,NA,PSJ003
Red_Sands_1,Red_Sands_1,Red_Sands_1,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.798471,32.620427,NA,Red_Sands_1
Red_Sands_2,Red_Sands_2,Red_Sands_2,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.798593,32.629552,NA,Red_Sands_2
Red Sands_SAEON,Red Sands_SAEON,Red Sands_SAEON,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.74857,32.63884,NA,Red Sands_SAEON
RR001,RR001,RR001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.0469,32.8653,NA,RR001
RR002,RR002,RR002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.0469,32.87322,NA,RR002
RSB001,RSB001,RSB001,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.7178,32.6391,NA,RSB001
RSB002,RSB002,RSB002,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-27.7178,32.6469,NA,RSB002
Santa Maria Mid,Santa Maria Mid,Santa Maria Mid,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.09439,33.00689,NA,Santa Maria Mid
Santa Maria North,Santa Maria North,Santa Maria North,ORI,2011/01/01 03:38:00,2021/12/01 07:12:00,-26.0936,33.01087,NA,Santa Maria North
